"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 17:43:56 GMT 2024","Mon Aug 26 17:43:56 GMT 2024","231","Booking_API","api_test/api_tests.spec.js","","","","[bk-3] POST/booking",""
"passed","Mon Aug 26 17:43:56 GMT 2024","Mon Aug 26 17:43:56 GMT 2024","238","Booking_API","api_test/api_tests.spec.js","","","","[bk-2] POST/auth",""
"failed","Mon Aug 26 17:43:58 GMT 2024","Mon Aug 26 17:43:58 GMT 2024","337","Booking_API","api_test/api_tests.spec.js","","","","[bk-7] PUT/booking{id} - faild",""
"failed","Mon Aug 26 17:44:06 GMT 2024","Mon Aug 26 17:44:08 GMT 2024","1265","Booking_UI","ui_tests/ui_tests.spec.js","","","","Buy Me a Tea And a Cake",""
"broken","Mon Aug 26 17:46:54 GMT 2024","Mon Aug 26 17:47:27 GMT 2024","32452","Booking_UI","ui_tests/ui_tests.spec.js","","","","Code #4",""
"passed","Mon Aug 26 17:43:55 GMT 2024","Mon Aug 26 17:43:56 GMT 2024","345","Booking_API","api_test/api_tests.spec.js","","","","[bk-1] GET/ping",""
"passed","Mon Aug 26 17:43:56 GMT 2024","Mon Aug 26 17:43:56 GMT 2024","239","Booking_API","api_test/api_tests.spec.js","","","","[bk-5] PATCH/booking{id}",""
"passed","Mon Aug 26 17:43:56 GMT 2024","Mon Aug 26 17:43:57 GMT 2024","230","Booking_API","api_test/api_tests.spec.js","","","","[bk-6] DELETE/booking{id}",""
"passed","Mon Aug 26 17:44:00 GMT 2024","Mon Aug 26 17:44:03 GMT 2024","2993","Booking_UI","ui_tests/ui_tests.spec.js","","","","API Docs",""
"broken","Mon Aug 26 17:45:15 GMT 2024","Mon Aug 26 17:45:48 GMT 2024","33019","Booking_UI","ui_tests/ui_tests.spec.js","","","","Web site",""
"passed","Mon Aug 26 17:43:56 GMT 2024","Mon Aug 26 17:43:56 GMT 2024","237","Booking_API","api_test/api_tests.spec.js","","","","[bk-4] PUT/booking{id}",""
